^:<name=antho footnote=ck>	note
1.1	A comprador, in the original sense of the word, was the Chinese manages or the senior Chinese employee in a foreign commercial establishment.^p The compradors served foreign economic interests and bad close connection with imperialism and foreign capital.
1.2	The Étatistes were a handful of shameless fascist politicians who at that time formed the Chinese Étatiste Youth League, later renamed the Chinese Youth Party.^p They made counter-revolutionary careers for themselves by opposing the Communist Party and the Soviet Union and received subsidies from the various groups of reactionaries in power and from the imperialists.
1.3	For further discussion of the role of the national bourgeoisie, see "The Chinese Revolution and the Chinese Communist Party", Chapter 2, Section 4, , Vol. II.
1.4	Tai Chi-tao joined the Kuomintang in his youth and for a time was Chiang Kai-shek's partner in stock exchange speculation.^p After Sun Yat-sen's death in 1925 he carried on anti-Communist agitation and prepared the ground ideologically for Chiang Kai-shek's counter-revolutionary coup d'état in 1927.^p For years be was a faithful running do^p g to Chiang Kai-shek in the counter-revolution.^p He committed suicide in February 1949, driven to despair by the imminent doom of Chiang Kai-shek's regime.
1.5	The Chen Pao was the organ of the Association for the Study of Constitutional Government, a political group which supported the rule of the Northern warlords.
1.6	In 1923 Sun Yat-sen, with the help of the Chinese Communist Party, decided to reorganize the Kuomintang bring about Kuomintang-Communist co-operation and admit members of the Communist Party into the Kuomintang.^p In January 1924 he convened in Canton the Kuomintang's First National Congress at which he laid down the Three Great Policies--alliance with Russia, co-operation with the Communist Party and assistance to the peasants and workers.^p Mao Tse-tung, Li Ta-chao, Lin Po-chu, Chu Chiu-pai and other comrades attended the Congress and played an important part in helping the Kuomintang to take the road of revolution.^p Some of these comrades were elected members, and others alternate members, of the Central Executive Committee of the Kuomintang.
1.7	By owner-peasants Comrade Mao Tse-tung means the middle peasants.
1.8	Marshal Chao is Chao Kung-ming, God of Wealth in Chinese folklore.
1.9	The May 30th Movement was the nation-wide anti-imperialist movement in protest against the massacre of the Chinese people by the British police in Shanghai on May 30 1925.^p Earlier that month, major strikes had broken out in Japanese-owned textile mills in Tsingtao and Shanghai, which the Japanese imperialists and the Northern warlords who were their running dogs proceeded to suppress.^p On May 15 the Japanese textile mill-owners in Shanghai shot and killed the worker Ku Cheng-hung and wounded a dozen others.^p On May 28 eight workers were slaughtered by the reactionary government in Tsingtao.^p On May 30 more than two thousand students in Shanghai agitated in the foreign concessions in support of the workers and for the recovery of the foreign concessions.^p They rallied more than ten thousand people before the British police headquarters, shouting such slogans as "Down with imperialism!" and "People of China, unite!" The British imperialist police opened fire, killing and wounding many students.^p This became known as the May 30th Massacre.^p It immediately aroused country-wide indignation, and demonstrations and strikes of workers, students and shopkeepers were held everywhere, forming a tremendous anti-imperialist movement.
1.10	By "the overwhelming majority of the semi-owner peasants", Comrade Mao Tse-tung is here referring to the impoverished peasants who worked partly on their own land and partly on land rented from others.
1.11	There were several strata of shop assistants in old China.^p Here Comrade Mao Tse-tung is referring to the largest.^p There was also the lower stratum of shop assistants who led the life of proletarians.
1.12	The seamen's strikes were staged by the seamen at Hongkong and by the crews of the Yangtse River steamers early in 1922.^p The Hongkong seamen held out for eight weeks.^p After a bitter and bloody struggle, the British imperialist authorities in Hongkong were finally forced to raise wages, lift the ban on the Seamen's Union, release the arrested workers and indemnify the families of the martyrs.^p The crews of the Yangtze steamers went on strike soon afterwards, carried on the struggle for two weeks and also won victory.
1.13	Immediately after its founding in 1922-23 the Chinese Communist Party set about organizing the railway worker.^p In 1922-23 strikes took place under the Party's leadership on all the trunk lines.^p The best known was the general strike on the Peking-Hankow Railway which began on February 4, 1923.^p It was a fight for the freedom to organize a general trade union.^p On February 7 the Northern warlords Wu Pei-fu and Hsiao Yao-nan, who were backed by British imperialism, butchered the strikers.^p This became known as the February 7th Massacre.
1.14	The Kailan Coal Mines was an inclusive name for the large contiguous Kaiping and Luanchow coalfields in Hopei Province, then employing over fifty thousand workers.^p During the Yi Ho Tuan Movement of 1900 the British imperialists seized the Kaiping mines.^p Subsequently the Chinese organized the Luanchow Coal Mining Company, which was later incorporated into the Kailan Mining Administration.^p Both coalfields thus came under the exclusive control of British imperialism.^p The Kailan strike took place in October 1922.^p The Tsiaotso Coal Mines, situated in Honan Province, are also well known in China.^p The Tsiaotso strike lasted from July 1 to August 9, 1925
1.15	Shameen, a section of the city of Canton, was held on lease by British imperialism.^p In July 1924 the British imperialists who ruled it issued a new police regulation requiring all Chinese to produce passes with photos on leaving or entering the area.^p But foreigners were exempt.^p On July 15 the workers in Shameen went on strike to protest against this preposterous measure, which the British imperialists were finally forced to cancel.
1.16	Following the May 30th Incident in Shanghai, general strikes broke out on June 1, 1925 in Shanghai and on June 19 in Hongkong.^p More than 200,000 workers took part in Shanghai and 250,000 in Hongkong.^p The big Hongkong strike, with the support of the people throughout the country, lasted sixteen months.^p It was the longest strike in the history of the world labour movement.
1.17	Chihli was the old name for Hopei Province.
